season,team,conference,statName,statValue
2019,Arkansas,SEC,rushingTDs,14
2019,Texas Tech,Big 12,fourthDowns,25
2019,Notre Dame,FBS Independents,interceptions,6
2019,San Diego State,Mountain West,thirdDownConversions,79
2019,Kansas,Big 12,games,12
2019,Nebraska,Big Ten,fumblesRecovered,13
2019,South Carolina,SEC,games,12
2019,North Carolina,ACC,passCompletions,265
2019,Bowling Green,Mid-American,passesIntercepted,7
2019,Pittsburgh,ACC,rushingTDs,11
2019,Kentucky,SEC,kickReturnTDs,0
2019,Iowa,Big Ten,totalYards,4765
2019,Air Force,Mountain West,games,13
2019,TCU,Big 12,penalties,78
2019,NC State,ACC,rushingYards,1814
2019,Northwestern,Big Ten,tacklesForLoss,78
2019,Western Kentucky,Conference USA,thirdDowns,184
2019,Wake Forest,ACC,puntReturnYards,211
2019,Kent State,Mid-American,fumblesLost,10
2019,Utah State,Mountain West,games,13
2019,South Florida,American Athletic,passCompletions,177
2019,Connecticut,American Athletic,fumblesLost,7
2019,Army,FBS Independents,rushingAttempts,743
2019,Kansas State,Big 12,rushingYards,2314
2019,Charlotte,Conference USA,passCompletions,195
2019,USC,Pac-12,puntReturnTDs,0
2019,Virginia Tech,ACC,games,13
2019,Georgia State,Sun Belt,thirdDowns,195
2019,Michigan,Big Ten,totalYards,5220
2019,Toledo,Mid-American,passesIntercepted,7
2019,TCU,Big 12,passCompletions,211
2019,Oregon,Pac-12,interceptionYards,293
2019,Rice,Conference USA,puntReturnYards,138
2019,Virginia Tech,ACC,sacks,46
2019,Eastern Michigan,Mid-American,passCompletions,313
2019,Alabama,SEC,rushingYards,2191
2019,Temple,American Athletic,interceptionYards,110
2019,UNLV,Mountain West,fumblesLost,6
2019,Texas,Big 12,fourthDownConversions,7
2019,San Diego State,Mountain West,passingTDs,15
2019,UCF,American Athletic,fumblesLost,7
2019,Virginia,ACC,possessionTime,27768
2019,Northern Illinois,Mid-American,kickReturnYards,141
2019,Stanford,Pac-12,turnovers,13
2019,UTEP,Conference USA,puntReturns,18
2019,San José State,Mountain West,interceptionTDs,0
2019,Utah,Pac-12,passCompletions,233
2019,Tulane,American Athletic,penaltyYards,883
2019,Iowa State,Big 12,turnovers,16
2019,Southern Mississippi,Conference USA,interceptionYards,159
2019,Nebraska,Big Ten,rushingTDs,27
2019,Duke,ACC,interceptions,14
2019,Boise State,Mountain West,interceptionTDs,1
2019,Ball State,Mid-American,penalties,71
2019,Connecticut,American Athletic,thirdDowns,165
2019,Iowa,Big Ten,rushingTDs,17
2019,West Virginia,Big 12,tacklesForLoss,102
2019,Middle Tennessee,Conference USA,passAttempts,365
2019,Coastal Carolina,Sun Belt,puntReturns,14
2019,Colorado,Pac-12,kickReturnTDs,0
2019,Oklahoma State,Big 12,fumblesLost,8
2019,Marshall,Conference USA,kickReturns,37
2019,Fresno State,Mountain West,fourthDownConversions,6
2019,Syracuse,ACC,interceptionTDs,1
2019,California,Pac-12,firstDowns,244
2019,Rice,Conference USA,kickReturnTDs,0
2019,NC State,ACC,interceptionYards,27
2019,Stanford,Pac-12,fumblesRecovered,7
2019,Army,FBS Independents,fourthDowns,39
2019,Coastal Carolina,Sun Belt,passesIntercepted,11
2019,Appalachian State,Sun Belt,interceptionYards,149
2019,Kentucky,SEC,passAttempts,257
2019,New Mexico State,FBS Independents,fumblesLost,12
2019,Iowa,Big Ten,penalties,56
2019,Troy,Sun Belt,interceptionTDs,2
2019,Oregon,Pac-12,fourthDownConversions,13
2019,Boise State,Mountain West,puntReturns,25
2019,Wyoming,Mountain West,kickReturns,11
2019,Boise State,Mountain West,fumblesLost,8
2019,Georgia Tech,ACC,tacklesForLoss,84
2019,Temple,American Athletic,puntReturnYards,68
2019,Navy,American Athletic,kickReturnTDs,0
2019,Nevada,Mountain West,possessionTime,24614
2019,North Carolina,ACC,tacklesForLoss,105
2019,Virginia,ACC,fourthDownConversions,9
2019,Appalachian State,Sun Belt,penaltyYards,900
2019,Michigan,Big Ten,penalties,80
2019,Iowa State,Big 12,interceptions,9
2019,Vanderbilt,SEC,passingTDs,10
2019,BYU,FBS Independents,sacks,19
2019,Wisconsin,Big Ten,puntReturnTDs,0
2019,Wake Forest,ACC,firstDowns,307
2019,Virginia,ACC,turnovers,21
2019,New Mexico State,FBS Independents,penaltyYards,544
2019,UAB,Conference USA,puntReturnYards,44
2019,Auburn,SEC,thirdDowns,189
2019,Duke,ACC,thirdDownConversions,64
2019,Iowa State,Big 12,interceptionYards,102
2019,Louisiana Tech,Conference USA,rushingAttempts,475
2019,Michigan State,Big Ten,rushingTDs,12
2019,Utah,Pac-12,rushingTDs,34
2019,North Carolina,ACC,totalYards,6162
2019,Texas State,Sun Belt,interceptionYards,38
2019,Tulane,American Athletic,passingTDs,19
2019,Appalachian State,Sun Belt,sacks,46
2019,Illinois,Big Ten,interceptionTDs,4
2019,Louisiana,Sun Belt,interceptionTDs,0
2019,Air Force,Mountain West,thirdDownConversions,84
2019,Mississippi State,SEC,thirdDowns,149
2019,Clemson,ACC,netPassingYards,4325
2019,Florida,SEC,interceptionYards,160
2019,Tulane,American Athletic,penalties,103
2019,USC,Pac-12,totalYards,5905
2019,New Mexico,Mountain West,possessionTime,21459
2019,Kansas,Big 12,penaltyYards,601
2019,Texas Tech,Big 12,fumblesRecovered,8
2019,Georgia State,Sun Belt,fumblesRecovered,9
2019,Purdue,Big Ten,interceptionTDs,1
2019,Utah State,Mountain West,rushingAttempts,461
2019,BYU,FBS Independents,turnovers,21
2019,Pittsburgh,ACC,firstDowns,268
2019,Virginia,ACC,rushingTDs,28
2019,Marshall,Conference USA,fourthDowns,14
2019,TCU,Big 12,passAttempts,394
2019,UCF,American Athletic,puntReturns,27
2019,Indiana,Big Ten,fumblesRecovered,13
2019,Rutgers,Big Ten,fourthDowns,14
2019,Navy,American Athletic,kickReturnYards,220
2019,Louisiana,Sun Belt,thirdDownConversions,80
2019,Troy,Sun Belt,fourthDowns,23
2019,UCLA,Pac-12,kickReturnTDs,1
2019,Toledo,Mid-American,puntReturnTDs,0
2019,Louisiana,Sun Belt,passesIntercepted,10
2019,Purdue,Big Ten,fourthDownConversions,8
2019,New Mexico State,FBS Independents,interceptionYards,18
2019,UMass,FBS Independents,firstDowns,190
2019,West Virginia,Big 12,turnovers,20
2019,Cincinnati,American Athletic,fumblesLost,9
2019,Tulane,American Athletic,interceptionTDs,2
2019,Ole Miss,SEC,rushingAttempts,559
2019,San Diego State,Mountain West,fumblesLost,2
2019,South Alabama,Sun Belt,kickReturnTDs,0
2019,Texas Tech,Big 12,interceptionTDs,0
2019,Stanford,Pac-12,kickReturnYards,770
2019,Stanford,Pac-12,penalties,75
2019,Southern Mississippi,Conference USA,puntReturnTDs,1
2019,SMU,American Athletic,tacklesForLoss,138
2019,Duke,ACC,sacks,35
2019,Toledo,Mid-American,games,12
2019,California,Pac-12,kickReturnTDs,0
2019,Kansas State,Big 12,thirdDownConversions,75
2019,Wyoming,Mountain West,penaltyYards,634
2019,Wisconsin,Big Ten,fourthDowns,23
2019,East Carolina,American Athletic,puntReturnYards,79
2019,North Carolina,ACC,rushingTDs,13
2019,Nevada,Mountain West,passAttempts,499
2019,Duke,ACC,games,12
2019,Arkansas,SEC,interceptionYards,60
2019,South Florida,American Athletic,puntReturnTDs,0
2019,Northern Illinois,Mid-American,interceptions,11
2019,Louisville,ACC,puntReturns,16
2019,Rice,Conference USA,penaltyYards,345
2019,Stanford,Pac-12,kickReturns,32
2019,Auburn,SEC,rushingAttempts,548
2019,San José State,Mountain West,puntReturns,10
2019,Memphis,American Athletic,firstDowns,325
2019,Alabama,SEC,thirdDowns,153
2019,West Virginia,Big 12,netPassingYards,2984
2019,Kansas,Big 12,turnovers,20
2019,San Diego State,Mountain West,puntReturns,28
2019,Utah State,Mountain West,fourthDowns,9
2019,Georgia State,Sun Belt,passAttempts,385
2019,Iowa,Big Ten,tacklesForLoss,75
2019,Utah,Pac-12,thirdDownConversions,81
2019,Wisconsin,Big Ten,penalties,69
2019,Auburn,SEC,interceptionTDs,2
2019,Florida State,ACC,puntReturnYards,132
2019,Washington State,Pac-12,rushingYards,885
2019,Eastern Michigan,Mid-American,rushingTDs,21
2019,Stanford,Pac-12,puntReturnYards,93
2019,Washington State,Pac-12,fumblesLost,9
2019,Missouri,SEC,possessionTime,21529
2019,East Carolina,American Athletic,passCompletions,270
2019,Central Michigan,Mid-American,passAttempts,473
2019,Texas,Big 12,puntReturns,17
2019,Toledo,Mid-American,tacklesForLoss,96
2019,UCF,American Athletic,puntReturnYards,285
2019,New Mexico State,FBS Independents,thirdDowns,171
2019,Vanderbilt,SEC,turnovers,13
2019,Baylor,Big 12,puntReturns,15
2019,Florida International,Conference USA,thirdDownConversions,70
2019,Arkansas State,Sun Belt,penalties,99
2019,Syracuse,ACC,totalYards,4735
2019,Marshall,Conference USA,sacks,47
2019,Colorado,Pac-12,fumblesRecovered,10
2019,Navy,American Athletic,sacks,45
2019,Arizona,Pac-12,rushingAttempts,451
2019,South Carolina,SEC,thirdDownConversions,59
2019,Purdue,Big Ten,fumblesLost,8
2019,UAB,Conference USA,rushingTDs,16
2019,East Carolina,American Athletic,penalties,71
2019,Utah State,Mountain West,passingTDs,22
2019,Virginia,ACC,kickReturnTDs,2
2019,SMU,American Athletic,puntReturnYards,186
2019,Bowling Green,Mid-American,fumblesRecovered,13
2019,Miami,ACC,thirdDownConversions,44
2019,Washington State,Pac-12,fumblesRecovered,11
2019,Marshall,Conference USA,passCompletions,200
2019,Fresno State,Mountain West,tacklesForLoss,91
2019,Coastal Carolina,Sun Belt,puntReturnTDs,1
2019,Pittsburgh,ACC,puntReturnTDs,1
2019,Purdue,Big Ten,kickReturnYards,521
2019,Fresno State,Mountain West,netPassingYards,2719
2019,Arkansas,SEC,fumblesRecovered,15
2019,Colorado State,Mountain West,kickReturnTDs,1
2019,Air Force,Mountain West,turnovers,18
2019,Ohio,Mid-American,fourthDownConversions,5
2019,Mississippi State,SEC,kickReturnTDs,0
2019,Arkansas,SEC,fumblesLost,6
2019,Rutgers,Big Ten,rushingTDs,11
2019,West Virginia,Big 12,passCompletions,289
2019,Purdue,Big Ten,fumblesRecovered,7
2019,UAB,Conference USA,rushingYards,2111
2019,Northern Illinois,Mid-American,turnovers,19
2019,Miami (OH),Mid-American,kickReturnTDs,0
2019,Florida State,ACC,rushingAttempts,477
2019,Indiana,Big Ten,totalYards,5626
2019,Pittsburgh,ACC,kickReturnYards,287
2019,Georgia Southern,Sun Belt,tacklesForLoss,105
2019,Middle Tennessee,Conference USA,interceptions,9
2019,Akron,Mid-American,kickReturnTDs,0
2019,Ball State,Mid-American,interceptionYards,71
2019,Houston,American Athletic,fumblesRecovered,9
2019,Oklahoma State,Big 12,rushingYards,3019
2019,Appalachian State,Sun Belt,netPassingYards,2815
2019,UAB,Conference USA,thirdDowns,182
2019,Eastern Michigan,Mid-American,kickReturns,23
2019,Utah State,Mountain West,possessionTime,19415
2019,UCF,American Athletic,kickReturnTDs,0
2019,USC,Pac-12,fumblesLost,11
2019,Missouri,SEC,fourthDowns,13
2019,Georgia State,Sun Belt,thirdDownConversions,89
2019,Oklahoma,Big 12,puntReturnTDs,1
2019,Navy,American Athletic,rushingAttempts,773
2019,Hawai'i,Mountain West,penalties,103
2019,UNLV,Mountain West,puntReturns,20
2019,Boise State,Mountain West,thirdDowns,196
2019,Illinois,Big Ten,games,13
2019,Georgia,SEC,tacklesForLoss,82
2019,Ball State,Mid-American,passingTDs,24
2019,Washington State,Pac-12,puntReturnYards,97
2019,NC State,ACC,kickReturnTDs,0
2019,Texas,Big 12,kickReturnYards,450
2019,Bowling Green,Mid-American,puntReturnYards,94
2019,New Mexico State,FBS Independents,totalYards,4333
2019,Houston,American Athletic,firstDowns,231
2019,Arkansas State,Sun Belt,thirdDowns,193
2019,Eastern Michigan,Mid-American,kickReturnTDs,0
2019,Florida,SEC,fourthDownConversions,16
2019,Northern Illinois,Mid-American,firstDowns,220
2019,Maryland,Big Ten,rushingYards,2034
2019,Virginia,ACC,puntReturnYards,158
2019,Appalachian State,Sun Belt,rushingAttempts,599
2019,Ole Miss,SEC,firstDowns,271
2019,Arkansas,SEC,fourthDowns,20
2019,Louisiana,Sun Belt,interceptions,4
2019,Iowa State,Big 12,totalYards,5776
2019,Florida Atlantic,Conference USA,kickReturnTDs,0
2019,Virginia Tech,ACC,interceptionYards,88
2019,Boston College,ACC,penaltyYards,516
2019,Liberty,FBS Independents,interceptions,8
2019,Missouri,SEC,puntReturns,21
2019,Miami (OH),Mid-American,passAttempts,337
2019,Rutgers,Big Ten,kickReturns,39
2019,Auburn,SEC,sacks,35
2019,Louisville,ACC,totalYards,5816
2019,Clemson,ACC,puntReturnTDs,0
2019,Penn State,Big Ten,interceptionTDs,2
2019,Arizona,Pac-12,interceptions,12
2019,San Diego State,Mountain West,penalties,78
2019,Akron,Mid-American,kickReturnYards,859
2019,Nevada,Mountain West,penalties,96
2019,Marshall,Conference USA,possessionTime,24112
2019,New Mexico,Mountain West,tacklesForLoss,74
2019,Utah,Pac-12,puntReturnTDs,1
2019,Cincinnati,American Athletic,rushingAttempts,616
2019,Tennessee,SEC,rushingYards,1874
2019,Appalachian State,Sun Belt,fumblesLost,3
2019,Virginia Tech,ACC,totalYards,5004
2019,Kentucky,SEC,puntReturnTDs,0
2019,New Mexico State,FBS Independents,tacklesForLoss,69
2019,Texas,Big 12,tacklesForLoss,103
2019,Louisiana,Sun Belt,thirdDowns,167
2019,Clemson,ACC,passAttempts,509
2019,Virginia Tech,ACC,puntReturns,25
2019,Syracuse,ACC,passAttempts,408
2019,Cincinnati,American Athletic,thirdDowns,213
2019,New Mexico State,FBS Independents,turnovers,27
2019,Penn State,Big Ten,interceptions,9
2019,Temple,American Athletic,fumblesRecovered,19
2019,Old Dominion,Conference USA,rushingYards,1168
2019,Old Dominion,Conference USA,fumblesLost,7
2019,Georgia Tech,ACC,firstDowns,181
2019,UCLA,Pac-12,possessionTime,21861
2019,Kent State,Mid-American,penalties,81
2019,Colorado,Pac-12,interceptionYards,40
2019,Arizona State,Pac-12,puntReturnTDs,1
2019,California,Pac-12,fourthDowns,16
2019,Connecticut,American Athletic,rushingTDs,13
2019,Vanderbilt,SEC,passAttempts,381
2019,Alabama,SEC,games,13
2019,California,Pac-12,passingTDs,19
2019,Georgia Southern,Sun Belt,interceptionYards,98
2019,North Carolina,ACC,rushingYards,2446
2019,LSU,SEC,kickReturnYards,291
2019,Appalachian State,Sun Belt,games,14
2019,Illinois,Big Ten,passesIntercepted,12
2019,Missouri,SEC,tacklesForLoss,92
2019,Arizona,Pac-12,rushingTDs,19
2019,Colorado,Pac-12,fourthDowns,20
2019,Tulsa,American Athletic,rushingAttempts,503
2019,Louisiana,Sun Belt,interceptionYards,102
2019,SMU,American Athletic,fourthDownConversions,22
2019,Utah State,Mountain West,totalYards,5607
2019,Georgia,SEC,passCompletions,255
2019,UCLA,Pac-12,kickReturns,29
2019,Iowa State,Big 12,thirdDowns,169
2019,Texas A&M,SEC,games,13
2019,Oklahoma,Big 12,puntReturns,28
2019,Louisiana Tech,Conference USA,rushingYards,2189
2019,Louisiana Tech,Conference USA,fourthDowns,16
2019,Arkansas State,Sun Belt,passCompletions,298
2019,Boston College,ACC,kickReturnYards,978
2019,LSU,SEC,rushingTDs,32
2019,Illinois,Big Ten,possessionTime,19974
2019,Tulsa,American Athletic,passingTDs,20
2019,Arizona,Pac-12,games,12
2019,Syracuse,ACC,possessionTime,21110
2019,BYU,FBS Independents,tacklesForLoss,85
2019,TCU,Big 12,fourthDownConversions,5
2019,Arizona State,Pac-12,kickReturnYards,606
2019,Alabama,SEC,fourthDowns,19
2019,Auburn,SEC,fourthDowns,15
2019,USC,Pac-12,fourthDowns,10
2019,LSU,SEC,penalties,93
2019,Temple,American Athletic,penaltyYards,801
2019,Miami,ACC,fumblesRecovered,18
2019,SMU,American Athletic,passingTDs,35
2019,Central Michigan,Mid-American,kickReturnTDs,0
2019,Colorado State,Mountain West,rushingTDs,18
2019,Virginia,ACC,firstDowns,296
2019,Oregon State,Pac-12,fourthDowns,24
2019,Duke,ACC,passesIntercepted,9
2019,Nebraska,Big Ten,passAttempts,323
2019,Kent State,Mid-American,thirdDownConversions,86
2019,Tennessee,SEC,kickReturnTDs,0
2019,Oregon State,Pac-12,kickReturns,40
2019,Bowling Green,Mid-American,games,12
2019,Houston,American Athletic,rushingTDs,20
2019,Hawai'i,Mountain West,tacklesForLoss,83
2019,Illinois,Big Ten,interceptionYards,249
2019,Texas A&M,SEC,passAttempts,452
2019,Navy,American Athletic,puntReturnYards,112
2019,Miami (OH),Mid-American,interceptionTDs,3
2019,UT San Antonio,Conference USA,kickReturns,35
2019,UTEP,Conference USA,rushingAttempts,438
2019,Florida,SEC,games,13
2019,Wyoming,Mountain West,rushingYards,2792
2019,Southern Mississippi,Conference USA,sacks,55
2019,Michigan State,Big Ten,kickReturnYards,446
2019,Louisiana Monroe,Sun Belt,netPassingYards,3041
2019,Georgia State,Sun Belt,puntReturns,10
2019,Indiana,Big Ten,turnovers,15
2019,South Alabama,Sun Belt,sacks,25
2019,UNLV,Mountain West,interceptionTDs,0
2019,Toledo,Mid-American,fourthDownConversions,18
2019,Oregon State,Pac-12,fumblesRecovered,11
2019,Washington State,Pac-12,puntReturns,6
2019,Central Michigan,Mid-American,turnovers,30
2019,East Carolina,American Athletic,totalYards,5162
2019,Stanford,Pac-12,passingTDs,18
2019,Vanderbilt,SEC,penalties,76
2019,California,Pac-12,rushingYards,1710
2019,Fresno State,Mountain West,rushingAttempts,394
2019,Kentucky,SEC,fourthDownConversions,14
2019,Rutgers,Big Ten,puntReturnTDs,0
2019,Old Dominion,Conference USA,penalties,71
2019,Temple,American Athletic,puntReturns,13
2019,Texas Tech,Big 12,netPassingYards,3896
2019,San Diego State,Mountain West,sacks,41
2019,Pittsburgh,ACC,interceptions,10
2019,Tulsa,American Athletic,kickReturnYards,495
2019,South Carolina,SEC,tacklesForLoss,95
2019,Ohio State,Big Ten,interceptionTDs,1
2019,Florida,SEC,firstDowns,297
2019,Texas State,Sun Belt,fumblesRecovered,14
2019,Central Michigan,Mid-American,passingTDs,19
2019,UTEP,Conference USA,kickReturnTDs,1
2019,Troy,Sun Belt,thirdDowns,177
2019,Connecticut,American Athletic,fourthDowns,25
2019,San José State,Mountain West,penalties,73
2019,Miami,ACC,firstDowns,252
2019,Clemson,ACC,interceptionYards,254
2019,South Florida,American Athletic,rushingTDs,15
2019,Cincinnati,American Athletic,interceptionYards,300
2019,Iowa,Big Ten,fumblesLost,5
2019,Auburn,SEC,fumblesRecovered,24
2019,Texas State,Sun Belt,penalties,66
2019,Purdue,Big Ten,possessionTime,19870
2019,Stanford,Pac-12,firstDowns,236
2019,Arkansas,SEC,turnovers,21
2019,Memphis,American Athletic,puntReturnYards,187
2019,Boston College,ACC,games,13
2019,Ohio,Mid-American,totalYards,5749
2019,Illinois,Big Ten,thirdDownConversions,62
2019,Indiana,Big Ten,rushingYards,1695
2019,Auburn,SEC,passesIntercepted,9
2019,Vanderbilt,SEC,passCompletions,202
2019,Colorado State,Mountain West,totalYards,5246
2019,Georgia,SEC,games,14
2019,TCU,Big 12,interceptionYards,228
2019,Buffalo,Mid-American,fumblesRecovered,20
2019,Florida,SEC,passesIntercepted,16
2019,Utah State,Mountain West,penalties,74
2019,Arizona State,Pac-12,tacklesForLoss,104
2019,Temple,American Athletic,kickReturns,40
2019,Michigan State,Big Ten,rushingYards,1653
2019,Penn State,Big Ten,totalYards,5356
2019,South Carolina,SEC,fourthDownConversions,13
2019,Arkansas,SEC,sacks,26
2019,Memphis,American Athletic,fumblesRecovered,13
2019,Georgia,SEC,penaltyYards,685
2019,Duke,ACC,puntReturns,22
2019,Northwestern,Big Ten,kickReturns,23
2019,Indiana,Big Ten,rushingAttempts,467
2019,Rutgers,Big Ten,penalties,76
2019,Northwestern,Big Ten,interceptionTDs,0
2019,Utah,Pac-12,interceptionTDs,4
2019,Navy,American Athletic,passAttempts,104
2019,South Alabama,Sun Belt,puntReturnTDs,0
2019,Hawai'i,Mountain West,thirdDowns,186
2019,Rutgers,Big Ten,turnovers,23
2019,Toledo,Mid-American,thirdDowns,171
2019,Hawai'i,Mountain West,fourthDownConversions,20
2019,Florida State,ACC,puntReturns,21
2019,South Alabama,Sun Belt,totalYards,3964
2019,Western Michigan,Mid-American,sacks,54
2019,Miami,ACC,rushingAttempts,407
2019,UNLV,Mountain West,thirdDownConversions,48
2019,Texas Tech,Big 12,games,12
2019,UAB,Conference USA,puntReturnTDs,0
2019,Oregon,Pac-12,passAttempts,446
2019,Virginia,ACC,totalYards,5445
2019,Ball State,Mid-American,puntReturns,14
2019,SMU,American Athletic,passesIntercepted,9
2019,Temple,American Athletic,rushingAttempts,479
2019,Western Kentucky,Conference USA,passAttempts,469
2019,Tennessee,SEC,interceptionYards,174
2019,Ole Miss,SEC,penaltyYards,585
2019,Air Force,Mountain West,penalties,42
2019,Mississippi State,SEC,passesIntercepted,10
2019,South Florida,American Athletic,turnovers,19
2019,BYU,FBS Independents,rushingTDs,25
2019,UMass,FBS Independents,puntReturns,13
2019,Florida,SEC,puntReturns,15
2019,Baylor,Big 12,rushingTDs,35
2019,Iowa State,Big 12,fourthDownConversions,9
2019,Stanford,Pac-12,interceptions,8
2019,Duke,ACC,puntReturnTDs,1
2019,Memphis,American Athletic,passCompletions,281
2019,Hawai'i,Mountain West,rushingYards,2011
2019,Texas,Big 12,fumblesRecovered,10
2019,Florida International,Conference USA,sacks,22
2019,Western Kentucky,Conference USA,fourthDownConversions,15
2019,Army,FBS Independents,totalYards,4929
2019,Buffalo,Mid-American,passesIntercepted,11
2019,Hawai'i,Mountain West,penaltyYards,918
2019,Northern Illinois,Mid-American,interceptionYards,103
2019,Florida International,Conference USA,kickReturnTDs,0
2019,Georgia Tech,ACC,rushingTDs,12
2019,Vanderbilt,SEC,puntReturnTDs,0
2019,Temple,American Athletic,rushingTDs,16
2019,Northern Illinois,Mid-American,interceptionTDs,2
2019,Middle Tennessee,Conference USA,rushingAttempts,406
2019,Tulane,American Athletic,rushingYards,3162
2019,LSU,SEC,passesIntercepted,17
2019,Memphis,American Athletic,rushingAttempts,551
2019,Oklahoma,Big 12,totalYards,7525
2019,Nevada,Mountain West,puntReturnYards,185
2019,UCLA,Pac-12,rushingTDs,18
2019,Liberty,FBS Independents,puntReturns,19
2019,Penn State,Big Ten,possessionTime,21761
2019,BYU,FBS Independents,netPassingYards,3700
2019,East Carolina,American Athletic,thirdDownConversions,70
2019,Wake Forest,ACC,turnovers,17
2019,Temple,American Athletic,fumblesLost,7
2019,Mississippi State,SEC,sacks,30
2019,New Mexico State,FBS Independents,interceptionTDs,0
2019,Oregon State,Pac-12,penaltyYards,702
2019,Washington,Pac-12,passesIntercepted,13
2019,Syracuse,ACC,puntReturns,16
2019,Colorado State,Mountain West,passesIntercepted,6
2019,South Alabama,Sun Belt,thirdDowns,169
2019,Wisconsin,Big Ten,games,14
2019,Ohio,Mid-American,interceptionTDs,0
2019,Boise State,Mountain West,kickReturns,38
2019,South Carolina,SEC,fumblesLost,7
2019,South Alabama,Sun Belt,interceptionTDs,0
2019,San Diego State,Mountain West,tacklesForLoss,97
2019,South Alabama,Sun Belt,passingTDs,14
2019,SMU,American Athletic,rushingYards,2317
2019,Oklahoma,Big 12,passesIntercepted,7
2019,Louisiana,Sun Belt,tacklesForLoss,70
2019,Charlotte,Conference USA,passingTDs,24
2019,Nevada,Mountain West,rushingTDs,16
2019,Marshall,Conference USA,fumblesLost,7
2019,Boise State,Mountain West,fumblesRecovered,14
2019,Clemson,ACC,penalties,85
2019,West Virginia,Big 12,rushingAttempts,334
2019,Penn State,Big Ten,passCompletions,217
2019,San Diego State,Mountain West,passAttempts,397
2019,Texas A&M,SEC,possessionTime,25827
2019,UNLV,Mountain West,tacklesForLoss,72
2019,Air Force,Mountain West,fumblesLost,12
2019,Mississippi State,SEC,totalYards,5201
2019,Mississippi State,SEC,kickReturnYards,430
2019,Army,FBS Independents,penalties,60
2019,UMass,FBS Independents,passCompletions,218
2019,Fresno State,Mountain West,penaltyYards,634
2019,BYU,FBS Independents,interceptionYards,240
2019,Georgia,SEC,passAttempts,415
2019,North Texas,Conference USA,turnovers,19
2019,Washington State,Pac-12,puntReturnTDs,0
2019,SMU,American Athletic,sacks,71
2019,Wisconsin,Big Ten,passCompletions,246
2019,NC State,ACC,turnovers,21
2019,Iowa State,Big 12,fumblesRecovered,12
2019,San José State,Mountain West,fourthDownConversions,7
2019,Penn State,Big Ten,passingTDs,25
2019,Notre Dame,FBS Independents,possessionTime,22220
2019,Oklahoma State,Big 12,kickReturnYards,540
2019,Connecticut,American Athletic,sacks,27
2019,Colorado,Pac-12,passesIntercepted,11
2019,South Carolina,SEC,interceptions,7
2019,Texas,Big 12,interceptionYards,100
2019,Cincinnati,American Athletic,kickReturnYards,590
2019,Army,FBS Independents,passesIntercepted,7
2019,Bowling Green,Mid-American,netPassingYards,1888
2019,Washington State,Pac-12,kickReturnYards,858
2019,Georgia Southern,Sun Belt,passAttempts,155
2019,Kent State,Mid-American,fourthDowns,12
2019,Western Michigan,Mid-American,puntReturnYards,51
2019,Kansas State,Big 12,puntReturns,16
2019,UAB,Conference USA,sacks,56
2019,UTEP,Conference USA,tacklesForLoss,47
2019,South Florida,American Athletic,games,12
2019,Utah State,Mountain West,interceptionYards,161
2019,UMass,FBS Independents,kickReturnYards,1550
2019,South Alabama,Sun Belt,interceptionYards,37
2019,Washington,Pac-12,interceptionTDs,0
2019,UT San Antonio,Conference USA,penalties,89
2019,Wake Forest,ACC,puntReturnTDs,0
2019,Coastal Carolina,Sun Belt,penaltyYards,586
2019,Tennessee,SEC,totalYards,4752
2019,Illinois,Big Ten,totalYards,4242
2019,North Texas,Conference USA,tacklesForLoss,85
2019,Arkansas,SEC,kickReturnTDs,0
2019,Maryland,Big Ten,interceptionTDs,0
2019,Louisiana Tech,Conference USA,puntReturnTDs,0
2019,UT San Antonio,Conference USA,sacks,33
2019,Texas A&M,SEC,totalYards,5129
2019,Arizona State,Pac-12,totalYards,4837
2019,Virginia Tech,ACC,penalties,69
2019,Central Michigan,Mid-American,possessionTime,25435
2019,Marshall,Conference USA,rushingTDs,21
2019,Houston,American Athletic,fourthDowns,17
2019,Akron,Mid-American,turnovers,26
2019,Washington State,Pac-12,fourthDowns,22
2019,East Carolina,American Athletic,fourthDowns,7
2019,Akron,Mid-American,kickReturns,40
2019,Oregon State,Pac-12,interceptionYards,55
2019,Florida International,Conference USA,puntReturnTDs,2
2019,UTEP,Conference USA,thirdDownConversions,57
2019,BYU,FBS Independents,kickReturnTDs,0
2019,Arizona,Pac-12,kickReturns,37
2019,UT San Antonio,Conference USA,rushingYards,1950
2019,Ohio State,Big Ten,kickReturns,17
2019,Miami,ACC,tacklesForLoss,150
2019,Miami (OH),Mid-American,rushingAttempts,533
2019,Arizona,Pac-12,rushingYards,2088
2019,UT San Antonio,Conference USA,fumblesRecovered,17
2019,Marshall,Conference USA,netPassingYards,2605
2019,New Mexico State,FBS Independents,penalties,68
2019,Georgia,SEC,fourthDowns,10
2019,Central Michigan,Mid-American,puntReturnYards,212
2019,California,Pac-12,puntReturnYards,171
2019,Central Michigan,Mid-American,interceptionYards,135
2019,Appalachian State,Sun Belt,totalYards,6055
2019,Miami (OH),Mid-American,kickReturns,41
2019,Iowa,Big Ten,passingTDs,16
2019,Louisiana,Sun Belt,fourthDownConversions,9
2019,Boise State,Mountain West,interceptionYards,84
2019,UCF,American Athletic,firstDowns,332
2019,Buffalo,Mid-American,passCompletions,150
2019,Wake Forest,ACC,interceptionYards,10
